"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000018166",509.122204254424,-0.712558912113024,0.14248497473081,-5.0009407199547,5.70512538830613e-07,0.000113074258422881
"ENSMUSG00000018209",1971.9321212355,-0.341862280259423,0.102532077339801,-3.3341983224085,0.000855456400541355,0.0160233564255246
"ENSMUSG00000018217",1299.65405820678,-0.365671123697949,0.101226785694651,-3.61239489319546,0.000303382090502218,0.00788284715336937
"ENSMUSG00000018362",738.850439371278,-0.321091776781598,0.100691858889668,-3.18885538833316,0.00142837313568873,0.0220331403600131
"ENSMUSG00000018427",1814.91174636933,-0.335736968596877,0.100761592315052,-3.33199347968942,0.000862262764211593,0.0160801628183661
"ENSMUSG00000018548",12733.5928893579,-0.444028973047768,0.10552902879972,-4.20764767854043,2.58042766453062e-05,0.00153252228369075
"ENSMUSG00000018846",4786.18651671309,-0.300668512482594,0.0825737690958858,-3.64121095324416,0.000271358670070075,0.00728395044306209
"ENSMUSG00000019055",859.413199934404,-0.476955985969085,0.122800608075469,-3.88398716784827,0.00010275733316505,0.00388358923236869
"ENSMUSG00000019295",1080.00614486156,-0.335071562058643,0.104956941381378,-3.19246690736829,0.00141063107546572,0.0218782590366817
"ENSMUSG00000019763",1209.35332233286,-0.455119422660368,0.141926824398849,-3.20671884675845,0.00134258141033849,0.0213273999433547
"ENSMUSG00000019872",1161.88393553732,-0.411904293232302,0.135873514116523,-3.03152749018518,0.002433197630885,0.0316369035409245
"ENSMUSG00000019874",473.641777293448,-1.60284402484705,0.398767087555147,-4.0194992888559,5.83219578282792e-05,0.00276907457154044
"ENSMUSG00000019883",467.035627426519,-0.363836635760231,0.112896082309185,-3.22275696656864,0.00126963227377512,0.0205126844611345
"ENSMUSG00000019889",1483.7434297788,-0.248838628583773,0.081926111967181,-3.03735430144001,0.00238664750729998,0.0311966309523989
"ENSMUSG00000019916",1472.3383805724,-0.601322039629796,0.172835062427509,-3.47916696522156,0.000502975105897771,0.011177588891822
"ENSMUSG00000019960",630.355650101196,-0.540333831905045,0.114647932049411,-4.71298367311304,2.44115763175656e-06,0.000303204232507456
"ENSMUSG00000019978",1664.42640845779,-0.323220250244508,0.0992194363334681,-3.25763038159371,0.00112346634791068,0.0190731911355952
"ENSMUSG00000020024",1375.8567542871,-0.30415679942903,0.0838956357188797,-3.62541861472042,0.000288493743968467,0.00761203694418346
"ENSMUSG00000020038",2659.84628900336,-0.334568012008913,0.0758036100177122,-4.41361581500853,1.01658294560148e-05,0.000809703565783984
"ENSMUSG00000020102",1359.68895587081,-0.44042457467819,0.130185984026092,-3.38304140782098,0.000716878226976894,0.014158967993999
"ENSMUSG00000020150",308.002213493835,-0.559445808523942,0.177090105532872,-3.15910257572293,0.00158255779400835,0.0235773495053158
"ENSMUSG00000020163",1526.88259350638,-0.506552893412229,0.0991459819517935,-5.10916210057331,3.23590642440556e-07,7.97452550056226e-05
"ENSMUSG00000020181",1005.1672764902,-0.567010164119794,0.106778475852775,-5.31015412602051,1.09532566276715e-07,3.66075018075807e-05
"ENSMUSG00000020256",460.764377937696,-0.623355130275999,0.149959826372838,-4.15681416385599,3.22716287327271e-05,0.00176325856779616
"ENSMUSG00000020257",7728.86848494536,-0.252214188473442,0.0893863932833715,-2.82161724183093,0.00477821683704716,0.0490335376203906
"ENSMUSG00000020275",233.799467125696,-0.666276438962771,0.16662101291254,-3.99875398256343,6.36768256693357e-05,0.0028985533361645
"ENSMUSG00000020288",596.348814601594,-0.311014766984529,0.10806588873554,-2.87801054175057,0.00400191765798483,0.0438666794085861
"ENSMUSG00000020290",5361.73564618404,-0.442078502362044,0.118176838109077,-3.74082188553739,0.000183419475184276,0.00551673402782999
"ENSMUSG00000020390",5456.44576918751,-0.237203324436618,0.0815022276453187,-2.91039068856963,0.00360977212913391,0.0413848583752621
"ENSMUSG00000020482",684.332262855899,-0.657431917560488,0.11630802150055,-5.65250710207791,1.58124262851882e-08,8.98409353436775e-06
"ENSMUSG00000020522",1551.06115907031,-0.366468256903861,0.0865689529405029,-4.23325273618276,2.3033540462283e-05,0.00140865871062967
"ENSMUSG00000020580",10938.3706081838,-0.317406713347297,0.100335196117772,-3.163463327213,0.00155903992523872,0.0234337173947918
"ENSMUSG00000020601",1183.53949409995,-0.377514560497083,0.114178590273957,-3.30635156373261,0.000945194148178878,0.0171254437081871
"ENSMUSG00000020661",5424.67791343341,-0.299096814299315,0.0955068066798032,-3.13168060682909,0.00173808845586303,0.0252048715879442
"ENSMUSG00000020674",351.592863034872,-0.821886709790073,0.179866118361204,-4.56943596313994,4.89038558497732e-06,0.000463092346088547
"ENSMUSG00000020697",1099.62694427683,-0.342058454912612,0.096812425951825,-3.5332081760127,0.000410549056860483,0.00963885492312251
"ENSMUSG00000020737",712.498516152278,-0.331180827160752,0.109933791189055,-3.01254803985804,0.00259064428417461,0.032928808220549
"ENSMUSG00000020774",1020.35843188197,-0.557619435118294,0.10383052733577,-5.37047677043044,7.85287489575665e-08,2.84792026804621e-05
"ENSMUSG00000020841",4041.4393291216,-0.402761098723349,0.0842197325189018,-4.78226523259208,1.73330765459997e-06,0.000245723737903738
"ENSMUSG00000020859",23241.4907759536,-0.225082883971427,0.070472576201745,-3.19390741906571,0.00140361123152088,0.0218289721179502
