"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000025867",28121.5287909742,0.522219216171675,0.120277702253619,4.34177911937922,1.413335818187e-05,0.0010121978580251
"ENSMUSG00000025876",1258.20777787202,0.503216286023204,0.120512416536902,4.17563849837096,2.9715139494972e-05,0.00167713428043641
"ENSMUSG00000025915",955.957336187572,0.461386447732595,0.104370464593222,4.42066105129285,9.83994163860516e-06,0.000794025816753626
"ENSMUSG00000026072",412.844999377527,0.498228458780498,0.126981125696879,3.92364184870937,8.72203714463719e-05,0.00350630007382879
"ENSMUSG00000026090",1355.00822097337,0.478094482431033,0.131545460759623,3.63444302578155,0.000278581808734556,0.0074543593875675
"ENSMUSG00000026207",4755.48119872173,0.276004871279907,0.0949335192178131,2.90734899068313,0.00364506287615703,0.0416278070224882
"ENSMUSG00000026283",557.051063535318,0.378547332931436,0.123723079107558,3.05963394753817,0.00221607665601025,0.0297451601703631
"ENSMUSG00000026313",1927.92307452534,0.286093178461403,0.0826755277764568,3.46043365135762,0.000539306117161298,0.0117250928150693
"ENSMUSG00000026443",3116.22351811838,0.263217793500504,0.0802929287714315,3.27821886096348,0.00104464366006097,0.018225129156335
"ENSMUSG00000026452",16348.0047190999,0.276988297582226,0.0861153131598544,3.21648133669395,0.00129772974030614,0.0207880912936416
"ENSMUSG00000026473",51956.9687832926,0.422756653996914,0.109382801978954,3.86492799917718,0.000111121974702137,0.00409119681402257
"ENSMUSG00000026489",1541.00001693031,0.303607127407727,0.104400619740754,2.90809698411407,0.00363635544748922,0.0415705423222359
"ENSMUSG00000026509",3913.7906670703,0.313400989806513,0.0946456298435712,3.31130967509538,0.000928603835078288,0.0169283982555181
"ENSMUSG00000026567",59.9463525814458,0.988588874577472,0.324286986007818,3.04849999300816,0.00229986918196644,0.0305068250635159
"ENSMUSG00000026676",420.062965944247,0.791820516878776,0.189667119815667,4.17479064187999,2.98260215927215e-05,0.00167783675923412
"ENSMUSG00000026686",88.8541451838894,0.889445932001606,0.24702148505216,3.60068247429487,0.000317382990886035,0.00811678860965101
"ENSMUSG00000026787",6795.44728576188,0.268932109395989,0.0921310515791468,2.91901703916793,0.00351137029915114,0.0406046857184743
"ENSMUSG00000026825",37906.0081737385,0.225199485308012,0.0721071716766626,3.12312187639024,0.00178943631936561,0.0256741936562178
"ENSMUSG00000026944",16877.6895971756,0.395286630076579,0.104543176404553,3.78108494185148,0.000156146382019814,0.0050028478976085
"ENSMUSG00000026956",348.892864434796,0.466683422145369,0.157750006730949,2.95837338974776,0.00309267258434901,0.0368375990218231
"ENSMUSG00000027217",552.994708015077,0.629627799641698,0.154662834500718,4.0709702604007,4.68177268551339e-05,0.00231979114606325
"ENSMUSG00000027330",651.646617674804,0.562979881769382,0.133058594373944,4.2310674061925,2.32584953715276e-05,0.00140865871062967
"ENSMUSG00000027333",2207.04930539612,0.28786024118838,0.0877992026233312,3.27862022190947,0.0010431591979303,0.0182178775909036
"ENSMUSG00000027376",196.629742850533,0.588795640761227,0.20740157938944,2.8389158968536,0.00452670862031891,0.0475261469232404
"ENSMUSG00000027487",254.268856461748,0.731864484604307,0.227606736674868,3.21547813257285,0.00130227416204861,0.0207880912936416
"ENSMUSG00000027639",1066.71596509852,0.253360945566657,0.0893162258721995,2.83667321466522,0.00455862435023781,0.047666042201833
"ENSMUSG00000027646",1940.91750964217,0.300954274466251,0.0987104747302618,3.04885854605243,0.00229712615331188,0.0304941707813092
"ENSMUSG00000027796",1762.68690658577,0.383907800777575,0.111208668596884,3.45213916883751,0.000556160790476633,0.0119092470774802
"ENSMUSG00000027824",73.1066195711753,1.27060565762562,0.337001692846762,3.77032425829201,0.00016303557774776,0.00515012893360353
"ENSMUSG00000027849",557.897818245065,0.815819756451257,0.206256069490402,3.95537333018567,7.64152282117495e-05,0.0032407490184162
"ENSMUSG00000027894",12356.4894583085,0.260451831425838,0.0850778331364203,3.06133597700131,0.00220351684423382,0.0296206187775753
"ENSMUSG00000027895",2091.54671237615,0.378869052956583,0.110489249655534,3.42901281471058,0.00060578092446986,0.0126693691504157
"ENSMUSG00000027931",529.899907205471,0.607642778952491,0.126715360885834,4.79533637204375,1.62402086998978e-06,0.000232936566769627
"ENSMUSG00000027947",188.679353714077,0.550707089852075,0.172656815036945,3.18960528568905,0.00142467233155552,0.0220159019867305
"ENSMUSG00000028099",883.690914502832,0.357293156168038,0.11330684507189,3.15332366673299,0.00161422718630902,0.0238841166585393
"ENSMUSG00000028104",1013.82014455823,0.394182659717379,0.0918692248207406,4.29069321621605,1.78116235732333e-05,0.00116768893771447
"ENSMUSG00000028125",439.895607070544,0.794892033223993,0.191227537757235,4.15678642598596,3.22755455061544e-05,0.00176325856779616
"ENSMUSG00000028128",2251.78301267632,0.428224604747292,0.106316938808821,4.02781165019551,5.62984152783418e-05,0.00269552384387454
"ENSMUSG00000028150",1091.23496646235,0.627682680558936,0.135700633685075,4.62549557443939,3.73703786210085e-06,0.00038625310783685
"ENSMUSG00000028329",940.428090215698,0.450617449682359,0.118763130287182,3.79425372666347,0.000148088182795252,0.00479878911738607
"ENSMUSG00000028369",2010.76481736178,0.325921083712065,0.113927955252162,2.86076479640742,0.00422620460158695,0.045381741999015
"ENSMUSG00000028463",259.005674098468,0.569423389035471,0.161206747932679,3.53225529537551,0.000412031367287357,0.00964442750763456
"ENSMUSG00000028710",1432.33995562406,0.395446320308608,0.0882080508754877,4.48310915368497,7.35632762285216e-06,0.000643018483751359
"ENSMUSG00000028756",15116.2549432355,0.3521472373733,0.124154032192555,2.83637374601851,0.0045629014949901,0.047666042201833
"ENSMUSG00000028789",1189.87296150015,0.395755223875045,0.122468473861187,3.23148653198388,0.00123148127207595,0.0201832675793602
"ENSMUSG00000028862",223.107598887826,0.824302560533356,0.170957135309391,4.82169146693741,1.42345998062932e-06,0.0002128322400862
"ENSMUSG00000028909",1387.62533283893,0.403483126042034,0.111494555432423,3.61885945441153,0.000295904279088352,0.00774760128580792
"ENSMUSG00000028946",1655.97418843509,0.305615523518985,0.107464546477639,2.84387301241323,0.00445688069705818,0.0471223528267961
"ENSMUSG00000029022",726.521563222383,0.374596688665282,0.132695526688779,2.8229790258405,0.00475796841841465,0.0489436159878562
"ENSMUSG00000029027",363.051132253297,0.4884872600834,0.126393580284603,3.86481068882979,0.000111175394390612,0.00409119681402257
"ENSMUSG00000029049",652.563138608314,0.39298858550127,0.121432339263479,3.23627616732788,0.00121100159658438,0.0200537707189017
"ENSMUSG00000029070",421.979576421593,0.385061031631796,0.132828025238527,2.89894418696896,0.00374421538372053,0.0422235708470619
"ENSMUSG00000029287",1308.32469978327,0.383972701091529,0.109950944314014,3.49221831142188,0.000479026556312196,0.0108002746724092
"ENSMUSG00000029311",1117.69911311485,0.330692993942268,0.102195380972919,3.23588982979474,0.00121264177257105,0.0200537707189017
"ENSMUSG00000029432",2463.01775653154,0.341715896200643,0.0999568112973713,3.41863542629466,0.000629359900836423,0.0129558448185469
"ENSMUSG00000029470",831.5386027062,0.29029829188423,0.0983509869222363,2.95165611417567,0.00316074724288583,0.037369585754994
