Geneid	SRR5364316	SRR5364317	SRR5364318	SRR5364321	SRR5364323	SRR5364330
ENSMUSG00000002076	4	8	7	12	6	16
ENSMUSG00000002083	374	324	344	465	396	425
ENSMUSG00000002100	1840	1845	1047	1658	1280	1685
ENSMUSG00000002102	4139	4075	4655	3900	4264	5019
ENSMUSG00000002103	1598	1469	1510	1842	1845	2221
ENSMUSG00000002104	8	8	11	10	7	17
ENSMUSG00000002105	994	1032	1201	1320	1332	1442
ENSMUSG00000002107	9837	8825	8016	8353	8836	9331
ENSMUSG00000002108	302	284	357	463	487	395
ENSMUSG00000002109	427	407	457	472	485	480
ENSMUSG00000002111	43	35	44	30	42	50
ENSMUSG00000002129	3191	2870	2978	2968	3181	3353
ENSMUSG00000002147	283	308	339	397	362	436
ENSMUSG00000002190	576	599	657	478	608	523
ENSMUSG00000002204	86	66	59	76	129	112
ENSMUSG00000002205	886	831	898	918	946	1054
ENSMUSG00000002210	917	863	892	1061	1022	1230
ENSMUSG00000002221	1565	1461	1415	1521	1537	1675
ENSMUSG00000002222	15679	13961	13593	14228	14626	15252
ENSMUSG00000002227	143	134	153	109	134	174
ENSMUSG00000002228	64	72	64	25	57	48
ENSMUSG00000002233	529	508	495	364	438	518
ENSMUSG00000002240	0	0	0	0	0	0
ENSMUSG00000002249	116	103	110	104	136	185
ENSMUSG00000002250	920	810	652	937	1016	1054
ENSMUSG00000002257	56	50	50	48	54	80
ENSMUSG00000002265	23042	20777	25608	29333	22247	29037
ENSMUSG00000002266	291	264	406	530	367	570
ENSMUSG00000002274	7479	7709	6038	4452	5590	5697
ENSMUSG00000002279	624	582	576	564	570	641
ENSMUSG00000002280	803	830	866	772	902	990
ENSMUSG00000002289	55	64	49	115	120	143
ENSMUSG00000002297	90	69	72	38	62	67
ENSMUSG00000002307	902	779	746	898	905	984
ENSMUSG00000002308	463	447	457	311	400	365
ENSMUSG00000002319	783	755	889	869	909	1127
ENSMUSG00000002320	926	921	963	892	936	1074
ENSMUSG00000002324	1057	1093	902	1526	1251	1699
ENSMUSG00000002325	705	657	956	535	920	600
ENSMUSG00000002326	324	266	306	241	281	262
ENSMUSG00000002329	978	946	919	1043	1032	1288
ENSMUSG00000002332	1565	1560	1780	1364	1675	1710
ENSMUSG00000002341	910	812	685	636	642	853
ENSMUSG00000002342	887	824	909	821	963	1024
ENSMUSG00000002343	552	547	736	549	673	698
ENSMUSG00000002345	706	669	682	670	733	750
ENSMUSG00000002346	856	861	745	1142	1018	1128
ENSMUSG00000002365	805	743	777	820	913	974
ENSMUSG00000002372	2224	2186	2440	2575	2467	3012
ENSMUSG00000002379	1176	1190	1439	979	1296	1455
ENSMUSG00000002384	6	6	7	4	8	14
ENSMUSG00000002393	259	311	294	214	260	316
ENSMUSG00000002395	962	972	1168	937	1131	1174
ENSMUSG00000002396	359	322	355	279	338	307
ENSMUSG00000002409	1034	1000	775	660	902	690
ENSMUSG00000002413	6880	6140	6439	6907	6354	7686
ENSMUSG00000002416	2022	1890	2142	1427	1806	1544
ENSMUSG00000002428	1717	1615	1703	1377	1722	1604
ENSMUSG00000002455	2633	2366	2736	2596	2804	3055
ENSMUSG00000002458	127	126	157	113	120	141
ENSMUSG00000002459	412	349	278	430	424	455
ENSMUSG00000002475	3831	3756	3998	3149	3948	3917
ENSMUSG00000002477	1369	1346	1449	1289	1371	1608
ENSMUSG00000002486	668	634	593	854	809	820
ENSMUSG00000002489	10634	8970	8287	11443	10495	12152
ENSMUSG00000002496	3955	3803	3933	3814	3944	4012
ENSMUSG00000002500	6	16	11	7	11	19
ENSMUSG00000002504	2778	2649	2387	2392	2609	3144
ENSMUSG00000002524	4120	3963	4418	4264	4436	5102
ENSMUSG00000002546	3845	3421	3652	4539	4076	5027
ENSMUSG00000002550	1223	1195	1304	1131	1204	1376
ENSMUSG00000002565	43	37	33	27	26	15
ENSMUSG00000002578	519	418	429	622	524	595
ENSMUSG00000002580	615	581	719	427	587	539
ENSMUSG00000002588	9	7	3	8	12	14
ENSMUSG00000002602	1828	1631	1763	1653	1724	2082
ENSMUSG00000002603	158	117	149	169	176	178
ENSMUSG00000002608	1330	1337	1215	1276	1506	1540
ENSMUSG00000002617	792	726	774	618	711	789
ENSMUSG00000002625	3108	3497	3995	3739	4123	3645
ENSMUSG00000002633	162	138	194	144	178	167
ENSMUSG00000002635	549	528	584	575	598	682
ENSMUSG00000002658	2237	2083	2257	2331	2425	2865
ENSMUSG00000002660	1090	1089	1152	981	1139	1331
ENSMUSG00000002661	563	568	650	489	584	600
ENSMUSG00000002664	0	0	0	0	0	0
ENSMUSG00000002668	17	15	20	29	21	27
ENSMUSG00000002679	639	656	658	604	693	758
ENSMUSG00000002688	315	244	258	276	316	288
ENSMUSG00000002699	42	49	40	40	44	41
ENSMUSG00000002718	3234	3214	3210	2781	3037	3270
ENSMUSG00000002728	951	886	1006	891	960	1003
ENSMUSG00000002731	809	813	893	736	853	905
ENSMUSG00000002732	99	115	123	143	101	171
ENSMUSG00000002733	1810	1700	1849	1655	1886	2063
ENSMUSG00000002741	909	820	817	867	942	1000
ENSMUSG00000002748	9818	9113	8536	8213	9680	8687
ENSMUSG00000002763	1632	1588	1730	1337	1721	1558
ENSMUSG00000002767	564	612	661	708	718	1025
ENSMUSG00000002768	834	807	1010	611	896	840
ENSMUSG00000002769	130	111	115	221	175	265
ENSMUSG00000002771	420	429	471	503	457	540
ENSMUSG00000002778	1822	1668	1645	1561	1764	2142
ENSMUSG00000002781	543	550	533	513	611	571
ENSMUSG00000002791	0	0	0	0	0	0
ENSMUSG00000002797	581	545	627	552	530	668
ENSMUSG00000002799	446	401	610	503	546	713
ENSMUSG00000002803	1120	1102	1114	1388	1297	1716
ENSMUSG00000002804	109	106	129	109	107	124
ENSMUSG00000002808	4725	4488	5531	4039	5082	5064
ENSMUSG00000002812	2814	2543	2951	2790	3054	3349
ENSMUSG00000002814	393	356	370	421	387	479
ENSMUSG00000002820	797	772	779	677	784	731
ENSMUSG00000002825	183	205	222	244	238	225
ENSMUSG00000002831	270	221	196	907	420	857
ENSMUSG00000002833	1915	1975	2014	2274	2231	2413
ENSMUSG00000002835	145	129	147	189	135	178
ENSMUSG00000002844	1722	1653	1730	1521	1796	1906
ENSMUSG00000002845	583	639	693	514	612	535
ENSMUSG00000002846	747	678	679	455	717	569
ENSMUSG00000002847	49	52	56	57	51	64
ENSMUSG00000002870	279	258	312	316	302	388
ENSMUSG00000002871	1528	1617	1837	1448	1730	1607
